product_id,product_name,attr,scores,review_title,reviews
B075ZZF47B,"Gildan Men's Ultra Cotton T-Shirt, Style G2000, Multipack",Number of Items: 2Color: Charcoal (2-pack)Size: Large,5.0 out of 5 stars,"
Solid value T-shirts
","<span class=""a-size-base review-text review-text-content"" data-hook=""review-body"">
<span>
  I recommend these T-shirts. I am 5'8"" and 140"", I do not like tight T-shirts so I bought a large. I am happy with it, although I am sure that a medium would have worked.<br/><br/>I will compare the Gilden T-shirt with the Fruit of the Loom Platinum that you will see at Wal-Mart.<br/><br/>Pro - The Gilden appears to be better built and the sizing was consistent on the two T-shirts that came in the package. The neck was smaller, without being tight. I am guessing that fabric around the neck will not wrinkle up, unlike many Fruit of the Looms. There were no loose threads, unlike many Fruit of the Loom.  Gilden has heavier fabric, which is better most of the year where I live (east Tennessee). I do not want a see-through T-shirt. Also, no one who sees me would want me wearing a see-through T-shirt.<br/><br/>Con - The Fruit of the Loom is much softer after a first washing. I washed the Gildan T-shirt in warm water with two minutes in the dryer on Energy-Saving. Gilden has a tag which is not as good as Fruit of the Loom (no tag). I cut the tag out without any problem and now the Gilden is fine. Gilden is slightly more expensive but both brands are inexpensive.<br/><br/>Neutral - Neither brand bleeds color. I have only washed the Gilden one time so I do not know whether it will fade. My Fruit of the Loom T-shirts fade but it takes many washes for that to occur.<br/><br/>I hope that this review is helpful to you.<br/><br/>Update - June 2, 2020. The Gildan T-shirts that I bought previously held up reasonably well for the money. They did not shrink. They did not fade. However, they did not get softer.  Washing was on warm and drying was three minutes on energy saver.<br/><br/>I purchased some more Gildans to replace the ones that wore out.  I have not washed them yet. I bought Galapagos Blue and Orange in Large size. Both are 100% cotton. The necks seem smaller than the Fruit of the Loom Platinums that I own. I like that because I have a small head so I don't need a big neck. I am still 5'8"" and 140 pounds and the Large is comfortable for me. A medium would probably fit me better; however,  I like a looser-fitting T-shirt.<br/><br/>I will let you know how well the new Gildans do after washing in warm water and drying for three minutes on energy saving heat.<br/><br/>Notably, I have some old Fruit of the Loom T-shirts (like ten years or more) which are reasonably thick, reasonably soft, and still going strong after all this time. I wish that I had bought more of them.<br/><br/>June 10, 2020 - After one wash in warm water and three minutes in the dryer, the new Gildans did not shrink or fade. Also, the necks did not stretch. However, the T-shirts did not become softer. Therefore, three out of the four results were good and one result was neutral.<br/><br/>September 20, 2020 - After multiple washings in warm water and three minutes in the dryer on ""energy saving"", the verdict is the same. Good - the T-shirts did not shrink or fade and the necks did not stretch. Bad - The T-shirts did not get any softer. One other note - the tags on the T-shirts would be very annoying to wear so I cut the tags out.<br/><br/>November 22, 2020 - The first thing to go bad on these T-shirts has been that the necks have stretched slightly. The stretching was not terrible but it is noticeable (at least to me). Nevertheless, I would give the T-shirts 4.5 stars. They do seem a little but softer or maybe I am getting more used to them.  They do not feel scratchy to me. They have not faded or shrunk. I definitely like them much better than the ultra-thin Fruit of the Loom Platinum.<br/><br/>November 28, 2020 -  I have purchased only Large-size Gildan T-shirts. I am very happy that the sizing has been very consistent. Gildan has much better quality control than Fruit of the Loom.<br/><br/>March 11, 2021 - I have revised the rating to a five stars. The T-shirts have gotten soft after probably 10 - 12 washings. The necks have stretched slightly but not very much. I am picky about that so I may notice that more than most people would. I dry the T-shirts by putting them in the dryer on energy saving setting for three minutes and then laying them on a bamboo drying rack. I do NOT dry them by putting them on hangers. The T-shirts still look great with no fading. I wear them frequently and enjoy the various colors.<br/><br/>September 16, 2021 - The T-shirts are still doing well. One note, I think that the 6.0 weight fabric is much better than the 5.3 weight fabric. I bought some 5.3 weight lime green T-shirts to try to make myself more visible when walking. The necks have sagged after four washes. They served the purpose for the summer. However, I would not buy the 5.3 ounce again. The 6.0 ounce T-shirts have maintained their shape with minimal neck sagging or crinkling.
</span>
</span>"
B075ZZF47B,"Gildan Men's Ultra Cotton T-Shirt, Style G2000, Multipack",Number of Items: 2Color: Purple (2-pack)Size: 3X-Large,4.0 out of 5 stars,"
Very Pleased
","<span class=""a-size-base review-text review-text-content"" data-hook=""review-body"">
<span>
  My husband actually has T-shirts older than our college-age grandson.  Some looked as if he was present and against the wall at the Valentine's Day Massacre.  I've slowly been trashing them as he brings them to be laundered and I was looking to replace some of his around-the house T-shirts.  He likes them reasonably soft and medium weight.  I sent off for a set of two of these and he really likes them.  He wore them one right after the other, and the second they had went thru wash and dry cycle, he put them on again.  Which made it appear that he'd been wearing the same shirt (after second wash) for six days.  So, I sent off for 4 more in different colors and he actually scooped up the package and thanked me for getting them for him. He has never thanked me for buying him clothes!  Do soak them in the sink in cold water to make sure the dye is not going to run first.  So far shrinkage was minimum, but I am glad that I purchased on size up.  This isn't dress wear, but these T-shirts are really nice and he wears them almost everywhere he goes.  The colors are great and they look pretty darn good.
</span>
</span>"
B075ZZF47B,"Gildan Men's Ultra Cotton T-Shirt, Style G2000, Multipack",Number of Items: 2Color: Galapagos Blue (2-pack)Size: XX-Large,3.0 out of 5 stars,"
Hems roll up and look bad
","<span class=""a-size-base review-text review-text-content"" data-hook=""review-body"">
<span>
  I have purchased and worn Gildan cotton tee shirts for many years, decades really. These are disappointing. For specificity, I note these particular shirts were manufactured in Nicaragua, unlike Gildan shirts that I am happy with that were made in other countries.<br/><br/>I won't make the mistake of buying Gildan shirts anymore unless I can inspect the garments in person first.<br/><br/>I purchased shirts in 3 different colors through two separate orders. I have the same reaction to all shirts in all colors.<br/><br/>FABRIC IS A BIT STIFF (award 4 stars): First the good things: Fabric quality is pretty good, though a bit stiffer-feeling than other Gildan tees I currently own. Take off 1 star for stiffness.<br/><br/>GOOD STITCHING (award 5 stars): All the sewing and stitching seem to be well executed.<br/><br/>VIBRANT COLOR( award 5 stars): The color is vibrant and seems durable after several washings already.<br/><br/>UNCOMFORTABLE TAGS IN BACK OF NECK (award 2 stars): The fabric tags at the back of the neck are irritating. I removed them from every shirt. Plus, they are long skinny tags sewn in along one short side, so they always stick up out the back of the neck if not removed.<br/><br/>SLEEVE AND WAIST HEMS ROLL UP (award 1 star): The hems on the sleeves and the waist roll up and stay up. They are hard to roll down. The more the shirts are laundered, the worse the rolling and staying rolled becomes. This makes the shirts a real chore to tuck in and unkempt looking at the sleeves when wearing.
</span>
</span>"
B075ZZF47B,"Gildan Men's Ultra Cotton T-Shirt, Style G2000, Multipack",Number of Items: 2Color: Black (2-pack)Size: X-Large,5.0 out of 5 stars,"
True XL! No Need To Go a Size Up.
","<span class=""a-size-base review-text review-text-content"" data-hook=""review-body"">
<span>
  I’m a big girl. 5’3” and 250 lbs. I usually wear XL or XXL because sizes are so inconsistent. These shirts are a true XL! They fit my chest without pulling up too much in the front. They aren’t too snug but don’t look loose and frumpy either. The material is thick and even though they might shrink a bit in the wash, there’s enough room that they still won’t be too small. I’ll definitely be buying these again.
</span>
</span>"
B075ZZF47B,"Gildan Men's Ultra Cotton T-Shirt, Style G2000, Multipack",Number of Items: 2Color: Navy (2-pack)Size: XX-Large,5.0 out of 5 stars,"
Affordable quality t-shirt
","<span class=""a-size-base review-text review-text-content"" data-hook=""review-body"">
<span>
  Used to be, ages ago before online shopping, that the big brands (Hanes, Fruit of the Loom) always made reliable t-shirts.  Lately, not so much the case, and it seems to be more difficult to just find a comfortable, quality t-shirt that isn't overpriced.  I rely on these for sleeping, along with a comfy pair of shorts, but my aged t-shirts, from Champion, are wearing out, and I can't find those anymore.<br/><br/>So, looking at t-shirts I've liked, that I've bought at sporting events or motorsports events, I noticed a lot of them were Gildan shirts, and all of them were comfortable and durable and fit well.  That's what led me to a search for that brand, and I found these.<br/><br/>Ordered them up, and, for an affordable price, they are terrific, and just like the ones for which I pay twenty five bucks or more, when buying emblazoned with a logo or whatever at an event kiosk, so, yup, the same outstanding shirts, just far less pricey.  Now that I've tried these, I'm going to order up some more, and finally retire my old worn out t-shirts that have served me so well all these years.<br/><br/>A great find!
</span>
</span>"
B075ZZF47B,"Gildan Men's Ultra Cotton T-Shirt, Style G2000, Multipack",Number of Items: 2Color: Dark Heather (2-pack)Size: X-Large,5.0 out of 5 stars,"
Thank you
","<span class=""a-size-base review-text review-text-content"" data-hook=""review-body"">
<span>
  These are my husband's favorite shirts, they are thick and durable. We will be buying more.
</span>
</span>"
B075ZZF47B,"Gildan Men's Ultra Cotton T-Shirt, Style G2000, Multipack",Number of Items: 2Color: Purple (2-pack)Size: XX-Large,4.0 out of 5 stars,"
100% Cotton so Buy Next Size Up
","<span class=""a-size-base review-text review-text-content"" data-hook=""review-body"">
<span>
  These are nice, medium weight t-shirts, not the thin, cheap kind.  They are a little small compared to his other brand t-shirts but the color is bright.  My husband usually wears XL t-shirts but I bought in 2XL since they are 100% cotton and I expected some shrinkage with washing.  They fit him OK before washing but were slightly short in the body.  After washing, they fit still OK and there wasn't any noticeable shrinkage.  I washed in cold water to prevent bleeding of colors and excessive shrinking.  I also pulled it out of the dryer after 10 minutes, while still damp, and hung it up in my laundry room to complete drying and prevent wrinkles.  He is happy with the shirts and I will probably buy more in different colors for him.
</span>
</span>"
B075ZZF47B,"Gildan Men's Ultra Cotton T-Shirt, Style G2000, Multipack",Number of Items: 2Color: Navy (2-pack)Size: XX-Large,5.0 out of 5 stars,"
Great Shirt.
","<span class=""a-size-base review-text review-text-content"" data-hook=""review-body"">
<span>
  Great Shirt... Always subject to what the wife brings home I finally wanted to find something more my speed. This shirt is thicker than your typical T which is why I like. I am a throw it in the laundry and go type so I needed bigger so I could shrink it. I am 250 lbs and 5'11 with a beer gut. I got the 2x and it fit just a touch too big and after 1 wash it is perfect. After a few more washes I might have wished on a 3x but not sure yet. As of now they are perfect and am happy. Only thing that will change when I order more is color and  possible size upgrade if it continues to shrink.
</span>
</span>"
B075ZZF47B,"Gildan Men's Ultra Cotton T-Shirt, Style G2000, Multipack",Number of Items: 2Color: White (2-pack)Size: X-Large,5.0 out of 5 stars,"
Great choice
","<span class=""a-size-base review-text review-text-content"" data-hook=""review-body"">
<span>
  Very nice weight and very white
</span>
</span>"
B075ZZF47B,"Gildan Men's Ultra Cotton T-Shirt, Style G2000, Multipack",Number of Items: 2Color: Black (2-pack)Size: Medium,1.0 out of 5 stars,"
Very stiff with wing sleeves.
","<span class=""a-size-base review-text review-text-content"" data-hook=""review-body"">
<span>
  The fabric on this shirt is very stiff, even after washing. I bought these for undershirts and they're way too thick and stiff to be worn under another shirt. On top of it, the sleeves have huge wings that stick out and look terrible. This shirt definitely does not hug the arms. Unfortunately I've already washed them so I'm stuck with them and I will never wear them. Such a waste of money.
</span>
</span>"
